date | value
2011-01-01 | 1
2011-01-05 | 1
2011-01-01 | 1.5
2011-01-01 | 0.123456
2011-01-01 | 0
2011-01-01 | 1000
2099-12-31 | 1
2022-03-29 | 1
2009-01-02 | 1
2011-01-01 | -1
2011-01-01 | -0.5
2011-01-01 | 1000.01
2011-01-01 | 2147483648
2009-01-01 | 1
2011-00-01 | 1
2011-13-01 | 1
2011-01-00 | 1
2011-01-32 | 1
2013-02-30 | 1
2013-02-29 | 1
2000-02-29 | 1
2011-04-31 | 1
2011/01/01 | 1
2011-AB-01 | 1
2011-1-1 | 1
2011-001-001 | 1
2011-01-01
2011-01-01|1
2011-01-01 |1
2011-01-01| 1
2011-01-01 || 1
2011-01-01,1
2011-01-01 | 1.2.3
2011-01-01 | 3abc
2011-01-01 | .
2011-01-01 | a
2011-01-01 | -0
2011-01-01 | +3
